영업상태구분코드,소재지전체주소,사업장명,업태구분명
1,서울특별시 영등포구 대림동 903-36,빠삭한 순살치킨을 위해 소스 얹어주는집,호프/통닭
1,서울특별시 영등포구 당산동3가 395-33,엘리트 Elite,호프/통닭
1,서울특별시 영등포구 도림동 267-1,로얄 바베큐,호프/통닭
1,서울특별시 영등포구 영등포동 618-217,돌담크랩 치킨,호프/통닭
1,서울특별시 영등포구 영등포동 618-217,숯향 후라이드 치킨,호프/통닭
1,서울특별시 영등포구 영등포동 618-217,리얼 새우짱 후라이드,호프/통닭
1,서울특별시 영등포구 영등포동 618-217,동서재 닭강정,호프/통닭
1,서울특별시 영등포구 영등포동 618-217,퍽퍽살이 싫어 내가 차린 치킨집,호프/통닭
1,서울특별시 영등포구 당산동3가 25-2,굽네치킨 영등포구청역점,호프/통닭
1,서울특별시 영등포구 문래동3가 56-1,일품가 해물치킨,호프/통닭
1,서울특별시 영등포구 영등포동4가 88-1,치어스히어(CHEERS),호프/통닭
1,서울특별시 영등포구 도림동 133-11,김가네,호프/통닭
1,서울특별시 영등포구 문래동6가 24-1 에이스하이테크시티2,역전할머니맥주 문래6가점,호프/통닭
1,서울특별시 영등포구 영등포동7가 29-105,가마로강정,호프/통닭
1,서울특별시 영등포구 영등포동7가 203 아크로타워 스퀘어,가마치통닭 국회대로점,호프/통닭
1,서울특별시 영등포구 영등포동2가 94-139 명화빌딩,명화로비(MH LOBBY),호프/통닭
1,서울특별시 영등포구 대림동 1081-54,화니,호프/통닭
1,서울특별시 영등포구 영등포동1가 144 헤렌어반,공만치킨 신길점,호프/통닭
1,서울특별시 영등포구 대림동 1049-5,한창호프,호프/통닭
1,서울특별시 영등포구 대림동 1032-12,미호프,호프/통닭
1,서울특별시 영등포구 대림동 856-8,수커피호프,호프/통닭
1,서울특별시 영등포구 양평동5가 76 양평동한신아파트,펍 에버모어(pup evermore),호프/통닭
1,서울특별시 영등포구 대림동 775-6 화성빌딩,바 세븐,호프/통닭
1,서울특별시 영등포구 양평동2가 33-37,인자왔소,호프/통닭
1,서울특별시 영등포구 도림동 819 대우미래사랑,BBQ영등포도림점,호프/통닭
1,서울특별시 영등포구 영등포동3가 12-4,푸라닭 영등포점,호프/통닭
1,서울특별시 영등포구 문래동3가 55-16 영등포 SK 리더스뷰,퓨전LaLa(라라),호프/통닭
1,서울특별시 영등포구 영등포동1가 145,순수치킨 신길점,호프/통닭
1,서울특별시 영등포구 대림동 1051-3,럭키,호프/통닭
1,서울특별시 영등포구 신길동 96-23번지 1층,통닭촌,호프/통닭
1,서울특별시 영등포구 당산동1가 123 1층,우리동네치킨,호프/통닭
1,서울특별시 영등포구 당산동6가 234 청우빌딩 1층,길동우동 당산역점,호프/통닭
1,서울특별시 영등포구 대림동 1035-3 지하1층,정호프,호프/통닭
1,서울특별시 영등포구 대림동 810-57,밀호프커피,호프/통닭
1,서울특별시 영등포구 문래동2가 14-48,잔향,호프/통닭
1,서울특별시 영등포구 여의도동 53 우정빌딩,YUPPIE CLUB(여피클럽),호프/통닭
1,서울특별시 영등포구 당산동3가 159 삼덕빌딩,하이볼 펍,호프/통닭
1,서울특별시 영등포구 신길동 364 건영아파트,치킨선생신길점,호프/통닭
1,서울특별시 영등포구 영등포동7가 65-6,영등포곱도리탕 본점,호프/통닭
1,서울특별시 영등포구 대림동 727-5,미 커피호프,호프/통닭
1,서울특별시 영등포구 여의도동 44-32 에리트빌딩,인생닭강정 여의도점,호프/통닭
1,서울특별시 영등포구 대림동 1125 보라매 신동아파밀리에,비에이치씨 대림점,호프/통닭
1,서울특별시 영등포구 양평동4가 277-8,처갓집양념치킨 당산점,호프/통닭
1,서울특별시 영등포구 영등포동3가 8 남서울빌딩,한국통닭,호프/통닭
1,서울특별시 영등포구 대림동 1058-45,대박술친구,호프/통닭
1,서울특별시 영등포구 여의도동 50 여의도시범아파트,바베큐 보이즈(BBQ BOYS),호프/통닭
1,서울특별시 영등포구 양화동 1-4,한강르네상스 양화3호점 카페,호프/통닭
1,서울특별시 영등포구 당산동 95-1,땅땅치킨 양화1호점,호프/통닭
1,서울특별시 영등포구 문래동2가 14-89,맛.,호프/통닭
1,서울특별시 영등포구 신길동 362-22 지하1층,7080밤과음악사이,호프/통닭
1,서울특별시 영등포구 도림동 246-35,말술,호프/통닭
1,서울특별시 영등포구 대림동 1032-17,오랜만호프,호프/통닭
1,서울특별시 영등포구 영등포동6가 107-1,육해공 반반 떡볶이&치킨,호프/통닭
1,서울특별시 영등포구 신길동 116-15,카우보이 신길점,호프/통닭
1,서울특별시 영등포구 대림동 1027-16,멕시카나 대림점,호프/통닭
1,서울특별시 영등포구 당산동5가 11-34 삼성타운,메가혼밥 영등포점,호프/통닭
1,서울특별시 영등포구 영등포동6가 66-1,갬성,호프/통닭
1,서울특별시 영등포구 대림동 714-9 우경빌딩,모란봉커피호프,호프/통닭
1,서울특별시 영등포구 영등포동3가 4,어푸,호프/통닭
1,서울특별시 영등포구 당산동3가 228-8,노랑포차,호프/통닭
1,서울특별시 영등포구 대림동 693-5 도명빌딩,가린의밤,호프/통닭
1,서울특별시 영등포구 대림동 710-9 한보빌딩,야황,호프/통닭
1,서울특별시 영등포구 문래동2가 40-4,와싸다포장마차,호프/통닭
1,서울특별시 영등포구 여의도동 35-5 여의도종합상가,파랑닭 여의도점,호프/통닭
1,서울특별시 영등포구 영등포동3가 4-7,호삼촌,호프/통닭
1,서울특별시 영등포구 대림동 1066-71,닭강정체인점,호프/통닭
1,서울특별시 영등포구 양평동4가 147-3 해성빌딩,23평,호프/통닭
1,서울특별시 영등포구 양평동2가 29-7,양남바당,호프/통닭
1,서울특별시 영등포구 영등포동7가 203 아크로타워 스퀘어,노랑통닭 영등포점,호프/통닭
1,서울특별시 영등포구 대림동 710-2,약속호프,호프/통닭
1,서울특별시 영등포구 도림동 155-18,흥부닭강정,호프/통닭
1,서울특별시 영등포구 양평동2가 1-1 신동아하이팰리스,누구나홀딱반한닭 서울양평역점,호프/통닭
1,서울특별시 영등포구 여의도동 47 여의도자이,코우(kou),호프/통닭
1,서울특별시 영등포구 문래동6가 34-1,얼맥당 문래점,호프/통닭
1,서울특별시 영등포구 여의도동 17 여의도더샵아일랜드파크,둘둘치킨여의도공원점,호프/통닭
1,서울특별시 영등포구 문래동3가 77-58,크라운호프문래점,호프/통닭
1,서울특별시 영등포구 여의도동 12-3,브롱스 서여의도점,호프/통닭
1,서울특별시 영등포구 대림동 700-1 기영빌딩,기영이 숯불두마리치킨 영등포대림점,호프/통닭
1,서울특별시 영등포구 영등포동2가 34-74번지 1층,봉닭,호프/통닭
1,서울특별시 영등포구 대림동 1066-68,야래향,호프/통닭
1,서울특별시 영등포구 대림동 1035-1 신언빌딩,998커피호프,호프/통닭
1,서울특별시 영등포구 여의도동 44-13 충무빌딩,충무포차,호프/통닭
1,서울특별시 영등포구 영등포동3가 4-1 여의도 포레스트 시티,BBQ영등포중앙점,호프/통닭
1,서울특별시 영등포구 여의도동 15-16 산정빌딩,굽네치킨 여의도1호점,호프/통닭
1,서울특별시 영등포구 대림동 1068-6,금빛 커피호프,호프/통닭
1,서울특별시 영등포구 신길동 4118,1988' 옛날통닭,호프/통닭
1,서울특별시 영등포구 양평동1가 247 영등포 중흥 S-CLASS,bhc양평역점,호프/통닭
1,서울특별시 영등포구 대림동 863-11 선훈빌딩,비비큐(BBQ) 대림신풍점,호프/통닭
1,서울특별시 영등포구 대림동 1066-125 다유,시류,호프/통닭
1,서울특별시 영등포구 대림동 693-6,NEW VIP클럽,호프/통닭
1,서울특별시 영등포구 대림동 1068-20,쉐잉,호프/통닭
1,서울특별시 영등포구 여의도동 50 여의도시범아파트,자담치킨,호프/통닭
1,서울특별시 영등포구 영등포동 618-40 풍민빌딩,하네스 응식이네 아지트,호프/통닭
1,서울특별시 영등포구 당산동6가 332-3 더빌,주식회사 올라 금별맥주 당산점,호프/통닭
1,서울특별시 영등포구 신길동 4909-3,보니따,호프/통닭
1,서울특별시 영등포구 영등포동 618-547,통닭 연구소,호프/통닭
1,서울특별시 영등포구 여의도동 35-5 여의도종합상가,킹스더킹 여의도점,호프/통닭
1,서울특별시 영등포구 당산동3가 278-1 정도빌딩,노을&하이볼,호프/통닭
1,서울특별시 영등포구 문래동6가 24-1 에이스하이테크시티2,지코바문래점,호프/통닭
1,서울특별시 영등포구 영등포동3가 21-10,교촌치킨영등포역점,호프/통닭
1,서울특별시 영등포구 영등포동3가 20,OB베어영등포점,호프/통닭
1,서울특별시 영등포구 영등포동1가 49,더맛닭 영등포점,호프/통닭
1,서울특별시 영등포구 여의도동 44-13 충무빌딩,원조감자탕일미집 여의도점,호프/통닭
1,서울특별시 영등포구 여의도동 54-2 진주상가,윤스맘,호프/통닭
1,서울특별시 영등포구 당산동4가 80 당산 SK V1 center,푸라닭당산점,호프/통닭
1,서울특별시 영등포구 문래동2가 14-26,문래 로지오뎅빠,호프/통닭
1,서울특별시 영등포구 대림동 833-2,코코주빠,호프/통닭
1,서울특별시 영등포구 신길동 110-47,감성포차 쉼,호프/통닭
1,서울특별시 영등포구 신길동 4950 래미안에스티움,노랑통닭신풍역점,호프/통닭
1,서울특별시 영등포구 문래동4가 9-3,문래중독,호프/통닭
1,서울특별시 영등포구 여의도동 86-5 2층,여의도한강1호점 카페,호프/통닭
1,서울특별시 영등포구 문래동2가 14-100,주식회사 세계닭집,호프/통닭
1,서울특별시 영등포구 신길동 1515-6,한잔더포차,호프/통닭
1,서울특별시 영등포구 대림동 1050-40 건설스마트빌딩,천상낙원,호프/통닭
1,서울특별시 영등포구 신길동 832,오븐마루치킨 병무청점,호프/통닭
1,서울특별시 영등포구 영등포동7가 94-99,별난아재맥주 영등포점,호프/통닭
1,서울특별시 영등포구 대림동 1019-3,999맥주집,호프/통닭
1,서울특별시 영등포구 영등포동7가 203 아크로타워 스퀘어,생활맥주 영등포시장역점,호프/통닭
1,서울특별시 영등포구 대림동 1077-5,주사,호프/통닭
1,서울특별시 영등포구 당산동2가 147-1,쉼터,호프/통닭
